uid,gender,birth,age,zip,gender_pred,is_edm_ok,is_company,reject,PC,Phone,Tablet,Other,last_login,rfm_new,rfm_lastmonth,nes,frequency,monetary,recency,maxprice,avgprice,cnt_item,acc_discount,day_of_week,part_of_day,order_region0,order_region1,order_region2,order_store0,order_store1,order_store2,categories_0_,sign3_0,sign3_1,sign3_2,region3_0,region3_1,region3_2,sign6_0,sign6_1,sign6_2,region6_0,region6_1,region6_2,sign12_0,sign12_1,sign12_2,region12_0,region12_1,region12_2
7646705,F,,,244,F,FALSE,TRUE,FALSE,,,,,45,活躍_低價值,高忠誠高貢獻,活耀,2,2270,45,1165,1135,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19688119,O,,,736,F,FALSE,FALSE,FALSE,,,,,48,未轉換,,潛在,,,130,,,,,4,晚上,,,,,,,,生活,,,家飾,,,通訊,,,APPLE,,,通訊,,,APPLE,,
15115357,O,,,557,F,FALSE,FALSE,FALSE,,,,,71,待喚回_低價值,待喚回高潛力,潛在,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14763086,O,,,522,F,FALSE,FALSE,FALSE,,,,,4,活躍_低價值,非潛力,活耀,1,545,4,545,545,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16394750,O,,,545,F,FALSE,FALSE,FALSE,3,0,0,0,64,活躍_中價值,低潛力高貢獻,活耀,1,2290,66,2290,2290,1,0,6,晚上,,,,,,,,家電,,,烤箱/微波爐,,,周邊,生活,,筆電周邊/配件,文具,,家電,周邊,生活,文具,通訊/辦公,筆電周邊/配件
15129752,O,,,640,F,TRUE,FALSE,FALSE,,,,,3,,,活耀,1,6690,3,6690,6690,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7434835,F,19831101,40,423,F,FALSE,FALSE,FALSE,,,,,63,待喚回_低價值,低潛力高貢獻,潛在,,,95,,,,,7,下午,,,,,,,,,,,,,,食品,,,,,,食品,日用,,,,
17573540,O,,,260,F,TRUE,FALSE,FALSE,,,,,32,,,活耀,1,2788,72,2788,2788,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19936392,O,,,207,F,FALSE,FALSE,FALSE,,,,,21,,,潛在,,,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939636,O,,,806,F,FALSE,FALSE,FALSE,1,0,0,0,50,活躍_低價值,低潛力低貢獻,活耀,1,599,50,599,599,2,0,,,,,,,,,,,,,,,,,,,,,,周邊,食品,,紙類,飲料,
1612194,F,,,702,F,FALSE,FALSE,FALSE,,,,,12,活躍_中價值,高忠誠高貢獻,活耀,7,5511,24,928,688.875,20,66,7,早上,,,,,,,,食品,生活,美妝,日系美妝,零食,MUJI無印良品,衣鞋包錶,食品,,電腦包,米/食材,團購,日用,衣鞋包錶,食品,米/食材,零食,團購
352386,F,,,403,F,FALSE,FALSE,FALSE,,,,,25,活躍_低價值,待喚回低潛力,活耀,1,4496,25,4496,4496,2,0,6,下午,,,,,,,,日用,,,,,,,,,,,,日用,,,掃除用具,,
7580318,F,,,303,F,FALSE,FALSE,FALSE,,,,,39,活躍_中價值,低潛力高貢獻,活耀,1,938,41,938,938,1,0,,,,,,,,,,,,,,,,,,,,,,日用,生活,食品,餐廚,油品,
18765751,O,,,202,F,TRUE,FALSE,FALSE,,,,,64,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12126960,F,,,351,F,FALSE,FALSE,FALSE,4,0,0,0,8,待喚回_中價值,低潛力高貢獻,潛在,,,103,,,,,,,,,,,,,,,,,,,,家電,衣鞋包錶,休閒,行李箱,健身,咖啡機,休閒,周邊,家電,USBHUB/周邊,行李箱,咖啡機
17896173,O,,,252,F,FALSE,FALSE,FALSE,,,,,46,活躍_低價值,非潛力,活耀,2,3787,46,3288,1893.5,2,0,,,,,,,,,,,,,,,,周邊,,,線材,,,周邊,,,線材,,
12284748,O,,,239,F,FALSE,FALSE,FALSE,,,,,63,活躍_低價值,非潛力,活耀,1,2450,42,2450,2450,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12718349,O,,,244,F,FALSE,FALSE,FALSE,,,,,28,活躍_中價值,,活耀,1,1497,29,1497,1497,9,744,2,早上,,,,,,,,生活,,,玩具,,,,,,,,,書店,生活,日用,玩具,金石堂,
16940132,O,,,360,F,FALSE,FALSE,FALSE,,,,,59,活躍_中價值,非潛力,活耀,1,30138,60,30138,30138,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937234,O,,,428,F,FALSE,FALSE,FALSE,,,,,40,流失_中價值,沉睡1,潛在,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,3C,家電,書店,咖啡機,動漫,
17866066,O,,,202,F,FALSE,FALSE,FALSE,,,,,8,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19568913,F,19880520,35,709,F,FALSE,FALSE,FALSE,,,,,63,沉睡_低價值,高流失低潛力,潛在,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19385098,F,19801005,43,401,F,FALSE,FALSE,FALSE,,,,,75,活躍_低價值,低潛力高貢獻,活耀,2,5858,18,4566,2929,6,60,6,半夜,,,,,,,,日用,,,洗衣精,家用清潔,,,,,,,,日用,,,衛生紙,,
7478903,F,,,411,F,FALSE,FALSE,FALSE,0,2,0,0,42,流失_低價值,非潛力,潛在,,,375,,,,,1,晚上,,,,,,,,,,,,,,,,,,,,衣鞋包錶,,,鐘錶,,
20919433,O,,,811,F,TRUE,FALSE,FALSE,,,,,31,,,活耀,1,999,30,999,999,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6793152,F,,,530,F,FALSE,FALSE,FALSE,,,,,74,流失_低價值,沉睡1,潛在,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296513,F,,,826,F,FALSE,FALSE,FALSE,,,,,36,待喚回_低價值,高忠誠高貢獻,潛在,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,食品,生活,,推車汽座,票券,
19176047,O,,,611,F,FALSE,FALSE,FALSE,,,,,74,待喚回_低價值,非潛力,潛在,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16052096,O,,,439,F,FALSE,FALSE,FALSE,,,,,70,沉睡_低價值,非潛力,潛在,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7405738,F,,,260,F,FALSE,FALSE,FALSE,,,,,40,沉睡_低價值,高流失低潛力,潛在,,,303,,,,,6,晚上,,,,,,,,,,,,,,,,,,,,生活,,,床包,,
15699910,O,,,265,F,FALSE,FALSE,FALSE,,,,,65,待喚回_低價值,低潛力低貢獻,潛在,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5682924,F,,,709,F,FALSE,FALSE,FALSE,,,,,75,活躍_低價值,非潛力,活耀,1,626,75,626,626,4,0,6,下午,,,,,,,,,,,,,,日用,,,衛生紙,,,日用,,,衛生紙,,
13855233,O,,,802,F,FALSE,FALSE,FALSE,,,,,9,,,活耀,1,1926,9,1926,1926,6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
15365450,O,,,540,F,FALSE,FALSE,FALSE,,,,,14,活躍_低價值,沉睡1,活耀,1,260,16,260,260,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9188923,F,,,437,F,FALSE,FALSE,FALSE,0,5,0,0,74,活躍_低價值,低潛力高貢獻,活耀,1,325,71,325,325,4,0,5,早上,,,,,,,,,,,,,,生活,食品,休閒,桌子,咖啡,NewBalance,休閒,食品,生活,桌子,咖啡,NewBalance
17121740,O,,,438,F,FALSE,FALSE,FALSE,,,,,80,,,活耀,1,1080,80,1080,1080,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094347,O,,,204,F,FALSE,FALSE,FALSE,,,,,60,沉睡_低價值,高流失低潛力,潛在,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022412,F,,,403,F,FALSE,FALSE,FALSE,,,,,30,活躍_低價值,低潛力高貢獻,活耀,3,2007,27,907,669,4,0,4,下午,DSAB,,,DSABKO,,,信用卡,,,,,,,,,,,,,,,,,,
8287774,F,,,265,F,FALSE,FALSE,FALSE,,,,,17,活躍_中價值,低潛力高貢獻,活耀,4,3057,19,1170,764.25,6,55,,,,,,,,,,,,,,,,食品,,,,,,食品,,,,,
20141542,O,,,632,F,TRUE,FALSE,FALSE,,,,,61,,,活耀,1,2050,61,2050,2050,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12706853,F,,,260,F,FALSE,FALSE,FALSE,,,,,37,活躍_中價值,低潛力高貢獻,活耀,4,30316,16,25110,7579,9,0,1,下午,,,,,,,,家電,,,除濕機,,,,,,,,,,,,,,
7968119,F,,,206,F,FALSE,FALSE,FALSE,,,,,40,,,潛在,,,,,,,,5,晚上,,,,,,,,,,,,,,,,,,,,,,,,,
7755573,F,,,244,F,FALSE,FALSE,FALSE,,,,,35,沉睡_低價值,高流失低潛力,潛在,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,休閒,生活,衣鞋包錶,眼鏡,南紡運動,南紡時尚
19740283,O,,,351,F,TRUE,FALSE,FALSE,,,,,77,,,活耀,1,398,73,398,398,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11228116,O,,,303,F,FALSE,TRUE,FALSE,,,,,45,活躍_低價值,低潛力高貢獻,活耀,2,3740,61,3041,1870,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
450833,F,,,804,F,FALSE,FALSE,FALSE,,,,,80,流失_低價值,沉睡1,潛在,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19972425,F,19871217,36,702,F,TRUE,FALSE,FALSE,,,,,8,,,潛在,,,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12544894,O,,,806,F,FALSE,FALSE,FALSE,,,,,20,活躍_低價值,低潛力高貢獻,活耀,2,2180,20,1090,1090,2,0,,,,,,,,,,,,,,,,生活,,,Combi,,,生活,,,Combi,,
16829492,O,,,900,F,FALSE,FALSE,FALSE,,,,,28,活躍_低價值,沉睡1,活耀,1,798,28,798,798,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16853569,O,,,325,F,FALSE,FALSE,FALSE,,,,,68,,,活耀,1,1711,68,1711,1711,1,0,5,下午,,,,,,,,,,,,,,,,,,,,,,,,,
10001951,O,,,510,F,FALSE,FALSE,FALSE,,,,,88,,,潛在,,,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15595547,O,,,248,F,FALSE,FALSE,FALSE,0,1,0,0,5,活躍_中價值,高忠誠高貢獻,活耀,2,1680,5,840,840,4,0,5,早上,,,,,,,,食品,,,礦泉水,,,周邊,食品,,飲料,碳粉匣,水,周邊,日用,食品,健身,飲料,水
19026439,F,19890917,34,262,F,FALSE,FALSE,FALSE,0,4,0,0,34,待喚回_低價值,,潛在,,,178,,,,,7,下午,,,,,,,,,,,,,,,,,,,,食品,生活,,進口零食,零食,
16524141,O,,,202,F,FALSE,FALSE,FALSE,,,,,18,,,活耀,1,769,18,769,769,1,0,1,晚上,,,,,,,,,,,,,,,,,,,,,,,,,
19368411,O,,,815,F,FALSE,FALSE,FALSE,,,,,30,未轉換,,潛在,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15344002,O,,,744,F,FALSE,FALSE,FALSE,,,,,55,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13865602,O,,,542,F,FALSE,FALSE,FALSE,0,1,0,0,84,待喚回_低價值,低潛力低貢獻,潛在,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20474592,O,,,829,F,FALSE,FALSE,FALSE,,,,,64,待喚回_低價值,非潛力,潛在,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7549191,F,,,891,F,FALSE,FALSE,FALSE,11,0,0,0,2,活躍_中價值,高忠誠高貢獻,活耀,4,9627,31,4023,2406.75,15,0,2,早上,,,,,,,,食品,日用,休閒,健身,電暖器,IRIS,美妝,生活,食品,音響,開架保養,玩具,休閒,家電,日用,機能服,雨具,零食
19774082,O,,,616,F,TRUE,FALSE,FALSE,,,,,88,活躍_低價值,,活耀,2,4279,26,2880,2139.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17101599,O,,,510,F,FALSE,FALSE,FALSE,,,,,63,活躍_中價值,高忠誠高貢獻,活耀,6,9196,6,2752,1532.666667,20,224,1,晚上,,,,,,,,,,,,,,周邊,,,,,,家電,生活,美妝,婦幼,,
7652835,F,,,239,F,FALSE,FALSE,FALSE,,,,,2,活躍_中價值,低潛力高貢獻,活耀,2,5280,2,4890,2640,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19052748,O,,,420,F,FALSE,FALSE,FALSE,,,,,90,活躍_中價值,非潛力,睡眠,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18868244,O,,,403,F,TRUE,FALSE,FALSE,,,,,18,活躍_低價值,非潛力,活耀,1,80,48,80,80,1,0,6,下午,,,,,,,,,,,,,,,,,,,,,,,,,
18936340,O,,,811,F,TRUE,FALSE,FALSE,,,,,85,未轉換,,潛在,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15486133,O,,,912,F,TRUE,FALSE,FALSE,15,0,0,0,13,待喚回_中價值,低潛力高貢獻,潛在,,,111,,,,,,,,,,,,,,,,,,,,衣鞋包錶,,,女包,,,衣鞋包錶,,,女包,,
17493936,O,,,243,F,FALSE,FALSE,FALSE,,,,,8,活躍_中價值,高忠誠高貢獻,活耀,2,1743,28,890,871.5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10555872,O,,,545,F,FALSE,FALSE,FALSE,,,,,42,未轉換,,潛在,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13968974,O,,,712,F,FALSE,FALSE,FALSE,,,,,24,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18699263,O,,,528,F,TRUE,FALSE,FALSE,,,,,19,沉睡_中價值,高流失低潛力,潛在,,,256,,,,,,,,,,,,,,,,,,,,周邊,,,下載/點數,,,生活,周邊,食品,票券,儲值,下載/點數
5653787,F,,,744,F,FALSE,FALSE,FALSE,,,,,80,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17944230,O,,,269,F,FALSE,FALSE,FALSE,,,,,10,待喚回_低價值,低潛力高貢獻,潛在,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516633,F,,,508,F,FALSE,FALSE,FALSE,,,,,6,未轉換,,潛在,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027743,F,,,337,F,FALSE,FALSE,FALSE,,,,,77,沉睡_低價值,高流失低潛力,潛在,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14622111,O,,,239,F,FALSE,FALSE,FALSE,,,,,61,活躍_低價值,非潛力,活耀,1,2690,62,2690,2690,1,0,4,下午,,,,,,,,,,,,,,,,,,,,,,,,,
17093810,O,,,328,F,FALSE,FALSE,FALSE,,,,,63,待喚回_低價值,非潛力,潛在,,,130,,,,,1,下午,,,,,,,,,,,,,,,,,,,,食品,,,泡麵,,
12202260,O,,,970,F,FALSE,FALSE,FALSE,,,,,70,未轉換,,潛在,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057761,F,,,812,F,FALSE,FALSE,FALSE,,,,,15,活躍_低價值,低潛力高貢獻,活耀,2,1506,14,1049,753,5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
14878738,O,,,515,F,FALSE,FALSE,FALSE,,,,,71,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10853410,O,,,360,F,FALSE,FALSE,FALSE,,,,,11,活躍_低價值,高潛力低貢獻,活耀,4,8600,3,3690,2150,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15869959,O,,,270,F,FALSE,FALSE,FALSE,,,,,5,活躍_低價值,沉睡1,活耀,1,788,6,788,788,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21110623,O,,,744,F,FALSE,FALSE,FALSE,,,,,21,沉睡_低價值,非潛力,潛在,,,182,,,,,3,晚上,,,,,,,,,,,,,,,,,,,,,,,,,
8072181,F,,,824,F,FALSE,FALSE,FALSE,,,,,8,活躍_低價值,高忠誠高貢獻,活耀,1,807,65,807,807,4,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
10631421,O,,,239,F,FALSE,FALSE,FALSE,,,,,18,未轉換,,潛在,,,663,,,,,6,早上,,,,,,,,,,,,,,,,,,,,,,,,,
9020521,F,,,237,F,FALSE,FALSE,FALSE,,,,,85,活躍_低價值,低潛力高貢獻,活耀,1,555,85,555,555,2,0,4,晚上,,,,,,,,,,,,,,食品,,,,,,食品,,,,,
19050465,O,,,652,F,FALSE,FALSE,FALSE,,,,,20,活躍_低價值,非潛力,活耀,1,390,20,390,390,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
397408,F,,,304,F,FALSE,FALSE,FALSE,,,,,77,,,潛在,,,458,,,,,,,,,,,,,,,,,,,,休閒,,,露營,,,休閒,,,露營,,
15305235,O,,,350,F,FALSE,FALSE,FALSE,,,,,2,活躍_低價值,低潛力低貢獻,活耀,2,1596,0,399,399,16,0,6,晚上,,,,,,,,休閒,,,機百,,,,,,,,,生活,,,修繕,,
18944570,O,,,202,F,TRUE,FALSE,FALSE,,,,,13,活躍_低價值,,活耀,2,2478,13,1490,1239,2,0,3,下午,,,,,,,,,,,,,,,,,,,,,,,,,
7030557,F,,,630,F,FALSE,FALSE,FALSE,25,0,0,0,5,活躍_高價值,高忠誠高貢獻,活耀,4,6951,7,4588,1737.75,5,0,5,下午,,,,,,,,居家,,,,,,生活,通訊,3C,Logitech/羅技,USBHUB/周邊,商用列印,生活,3C,通訊,Logitech/羅技,醫療口罩專區,維他命
10742379,M,,,826,F,FALSE,FALSE,FALSE,,,,,85,未轉換,,潛在,,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14634033,O,,,649,F,FALSE,FALSE,FALSE,,,,,52,,,潛在,,,,,,,,6,下午,,,,,,,,通訊,,,APPLE,,,,,,,,,,,,,,
16588252,O,,,206,F,FALSE,FALSE,FALSE,,,,,25,流失_低價值,高流失低潛力,潛在,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14795528,O,,,722,F,FALSE,FALSE,FALSE,,,,,28,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7237673,F,,,928,F,FALSE,FALSE,FALSE,,,,,19,未轉換,,潛在,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,家電,,,音響,,
2959554,F,,,310,F,FALSE,FALSE,FALSE,23,0,0,0,1,活躍_高價值,高忠誠高貢獻,活耀,10,31465,1,12980,2860.454545,63,434,3,下午,,,,,,,,周邊,居家,日用,桌子/茶几,泡麵,創見,筆電,3C,周邊,延長線,辦公品,墨水匣/標籤帶,生活,周邊,日用,延長線,進口零食,辦公品
6836539,O,,,558,F,FALSE,FALSE,FALSE,,,,,90,,,睡眠,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13219808,O,,,269,F,FALSE,FALSE,FALSE,,,,,50,流失_低價值,沉睡1,潛在,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6882179,F,,,804,F,FALSE,FALSE,FALSE,2,0,0,0,56,待喚回_低價值,,潛在,,,134,,,,,3,半夜,,,,,,,,,,,,,,家電,3C,,影音/劇院,,,3C,家電,,影音/劇院,,
6985150,F,,,403,F,FALSE,FALSE,FALSE,,,,,3,活躍_低價值,低潛力低貢獻,活耀,1,869,3,869,869,2,0,7,下午,,,,,,,,,,,,,,,,,,,,,,,,,
12044436,O,,,804,F,FALSE,FALSE,FALSE,,,,,28,活躍_低價值,,活耀,1,15900,28,15900,15900,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19263931,O,,,708,F,FALSE,FALSE,FALSE,,,,,21,活躍_低價值,非潛力,活耀,1,598,21,598,598,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20943840,O,,,303,F,FALSE,FALSE,FALSE,,,,,28,未轉換,,潛在,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19776635,O,,,,F,TRUE,FALSE,FALSE,,,,,41,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19705877,O,,,,F,TRUE,FALSE,FALSE,,,,,79,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20831089,O,,,,F,TRUE,FALSE,FALSE,,,,,31,,,潛在,,,,,,,,7,晚上,,,,,,,,,,,,,,,,,,,,,,,,,
17713909,O,,,,F,TRUE,FALSE,FALSE,,,,,71,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18240838,O,,,,F,TRUE,FALSE,FALSE,,,,,75,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19522344,O,,,,F,TRUE,FALSE,FALSE,,,,,90,,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18791544,O,,,,F,TRUE,FALSE,FALSE,,,,,56,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21038039,O,,,,F,TRUE,FALSE,FALSE,,,,,17,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18243973,O,,,,F,TRUE,FALSE,FALSE,,,,,53,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20853718,O,,,,F,TRUE,FALSE,FALSE,,,,,76,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15177435,O,,,,F,TRUE,FALSE,FALSE,,,,,13,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15524517,O,,,,F,TRUE,FALSE,FALSE,,,,,8,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21069971,O,,,,F,TRUE,FALSE,FALSE,,,,,38,,,潛在,,,,,,,,7,半夜,,,,,,,,,,,,,,,,,,,,,,,,,
19010589,O,,,,F,TRUE,FALSE,FALSE,,,,,24,,,潛在,,,,,,,,7,半夜,,,,,,,,通訊,,,APPLE,,,,,,,,,,,,,,
18712233,O,,,,F,TRUE,FALSE,FALSE,,,,,8,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17583968,O,,,,F,TRUE,FALSE,FALSE,,,,,65,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17677319,O,,,,F,TRUE,FALSE,FALSE,,,,,61,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320784,O,,,,F,TRUE,FALSE,FALSE,,,,,31,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480968,F,,,100,F,FALSE,FALSE,FALSE,,,,,68,活躍_低價值,低潛力高貢獻,活耀,1,175,89,175,175,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10694502,F,,,100,F,FALSE,FALSE,FALSE,,,,,17,未轉換,,潛在,,,128,,,,,1,下午,,,,,,,,,,,,,,日用,食品,通訊,泡麵,貓食,藍牙耳機,食品,日用,通訊,貓食,藍牙耳機,泡麵
6803192,F,,,100,F,TRUE,FALSE,FALSE,,,,,75,,,活耀,1,7490,75,7490,7490,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7803037,F,,,100,F,FALSE,FALSE,FALSE,,,,,67,未轉換,,潛在,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9905732,O,,,100,F,TRUE,FALSE,FALSE,,,,,7,活躍_低價值,,活耀,1,984,9,984,984,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13259490,O,,,100,F,FALSE,FALSE,FALSE,,,,,35,活躍_低價值,非潛力,活耀,1,3990,35,3990,3990,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5063796,F,,,100,F,FALSE,FALSE,TRUE,,,,,24,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7944501,O,,,104,F,FALSE,FALSE,FALSE,,,,,7,待喚回_中價值,非潛力,潛在,,,132,,,,,5,半夜,,,,,,,,書店,,,文學小說,旅遊,金石堂,書店,,,語言學習,,,書店,生活,,語言學習,,
8009441,F,,,104,F,FALSE,FALSE,FALSE,0,7,0,0,87,活躍_中價值,高忠誠高貢獻,活耀,2,1447,24,947,723.5,10,0,6,晚上,,,,,,,,居家,,,,,,生活,日用,美妝,醫療保健,洗衣精,衛生紙,日用,美妝,3C,文具,衛生紙,電腦擴充
10425102,O,,,104,F,FALSE,FALSE,FALSE,,,,,1,活躍_低價值,非潛力,活耀,1,2630,1,1490,1315,3,0,,,,,,,,,,,,,,,,,,,,,,美妝,,,沙龍髮品,,
7698419,F,,,104,F,FALSE,FALSE,FALSE,,,,,13,未轉換,,潛在,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7835184,F,,,104,F,FALSE,FALSE,FALSE,,,,,42,活躍_中價值,高忠誠高貢獻,活耀,4,8814,1,2388,1762.8,17,200,3,下午,,,,,,,,,,,,,,,,,,,,,,,,,
